channel_id,view_count,sub_count,video_count,created_at,created_date
UCpu3bemTQwAU8PqM4kJdoEQ,4098121603,2410000,272429,2024-02-10 10:48:52.521436+00,2024-02-10
UC8CU5nVhCQIdAGrFFp4loOQ,4171577284,2940000,27,2024-02-10 10:48:52.521436+00,2024-02-10
UC7ovu6a8ydIbDy0fAKmoZ9A,3998264873,2750000,2206,2024-02-10 10:48:52.521436+00,2024-02-10
UC5nwNW4KdC0SzrhF9BXEYOQ,5774555928,2580000,431967,2024-02-10 10:48:52.521436+00,2024-02-10
UCPRWWKG0VkBA0Pqa4Jr5j0Q,1033723983,2570000,2823,2024-02-10 10:48:52.521436+00,2024-02-10
UCJWXJTaLqI5KBnJuaXbCaTg,284142264,1580000,469,2024-02-10 10:48:52.521436+00,2024-02-10
UCIU8ha-NHmLjtUwU7dFiXUA,5264570745,2520000,174420,2024-02-10 10:48:52.521436+00,2024-02-10
UC3LBFXbWtEBdOOUb8-qJm9Q,823192244,2260000,799,2024-02-10 10:48:52.521436+00,2024-02-10
UC8zkK0-g8S8Z_t8ZjUmpAlA,186429226,1540000,569,2024-02-10 10:48:52.521436+00,2024-02-10
UCV_S2S-Zs8LeuJxK-T3RQQg,1030026308,2220000,1642,2024-02-10 10:48:52.521436+00,2024-02-10
UCH3aos_uf4pGHbkANSbceEg,1144161100,2140000,449,2024-02-10 10:48:52.521436+00,2024-02-10
UCgdwtyqBunlRb-i-7PnCssQ,1243947794,2050000,11955,2024-02-10 10:48:52.521436+00,2024-02-10
